svg1,33.7098,42.8962,988.58,718.554
part_0,41.9486,42.8962,972.103,426.208
layer1,96.6187,273.741,916.046,193.979
g1,385.915,273.741,180.326,193.979
part_228,409.571,291.781,150.657,175.935
part_229,423.153,312.136,120.419,138.465
part_230,427.367,317.607,111.281,128.342
part_233,432.221,324.166,100.064,115.333
part_236,462.935,355.161,39.4646,50.5644
part_244,474.001,373.203,13.5945,16.354
part_238,484.218,392.925,4.41631,5.0126
part_240,467.564,388.762,4.34849,5.09942
part_242,491.885,377.041,5.18399,5.22967
part_243,472.616,371.798,16.3673,19.1344
part_246,467.044,370.786,4.52356,4.45211
part_248,481.687,362.749,4.57659,5.20513
part_235,462.013,353.773,41.7747,53.3401
part_237,482.336,391.589,7.57308,7.66028
part_239,466.153,387.48,7.15521,7.60545
part_241,491.157,375.91,6.61598,7.6097
part_245,465.671,368.968,7.12156,8.11335
part_247,480.485,361.522,7.1109,7.6566
part_34,385.915,407.419,72.2069,60.3002
part_327,461.569,273.741,104.671,122.838
g2,854.977,275.129,157.687,178.71
part_250,887.617,290.395,104.692,163.442
part_288,908.298,319.797,62.2739,104.437
part_291,925.088,348.196,28.827,45.5132
part_293,934.804,383.997,3.44208,3.44183
part_298,934.342,363.744,9.8594,15.1498
part_299,942.632,358.724,5.3049,6.36259
part_301,931.967,354.608,4.82733,6.86625
part_251,900.109,307.974,84.3353,127.362
part_287,904.272,311.671,76.0082,119.966
part_290,923.7,346.813,31.6023,48.2822
part_292,933.847,382.303,5.34668,6.37693
part_296,932.955,362.506,15.8895,20.0892
part_297,944.519,377.521,3.44196,3.44186
part_324,914.913,275.129,85.7232,101.166
part_165,997.178,321.817,15.4868,51.2505
part_295,927.25,369.664,2.14251,5.35626
part_300,944.255,359.342,2.37332,4.74666
part_294,925.967,369.394,5.31764,6.41454
part_304,854.977,289.918,75.341,163.922
g3,570.284,407.428,115.173,32.995
part_31,604.423,407.428,81.0344,32.9936
part_33,626.076,407.434,42.3236,11.7078
part_28,570.284,408.824,60.5148,31.5986
g4,96.6187,407.899,164.635,48.7179
part_24,149.106,409.287,62.5421,18.6468
part_29,123.993,408.824,137.26,47.7887
part_35,96.6187,407.899,73.1593,48.7179
part_17,172.769,411.591,63.4035,22.8212
part_26,145.802,408.7,93.8079,29.4085
layer11,33.7098,487,988.58,274.45
t1,43.7098,487,84.5753,90.9787
part_228-2,54.8049,495.461,70.6603,82.5159
part_229-4,61.1752,505.008,56.4783,64.942
part_230-5,63.1516,507.574,52.1924,60.1943
part_233-5,65.4283,510.65,46.9315,54.0926
part_236-1,79.8334,525.187,18.5095,23.7154
part_244-7,85.0237,533.649,6.376,7.67025
part_238-1,89.8156,542.899,2.07131,2.35098
part_240-1,82.0045,540.946,2.0395,2.3917
part_242-5,93.4112,535.449,2.43136,2.45279
part_243-2,84.3741,532.99,7.67651,8.97429
part_246-7,81.7607,532.516,2.12161,2.0881
part_248-6,88.6283,528.746,2.14649,2.44128
part_235-1,79.4008,524.536,19.5929,25.0172
part_237-4,88.9327,542.272,3.55188,3.59278
part_239-2,81.3426,540.345,3.35589,3.56706
part_241-3,93.0701,534.919,3.10299,3.56905
part_245-2,81.1165,531.663,3.34011,3.80527
part_247-2,88.0646,528.171,3.33511,3.59105
part_34-1,43.7098,549.697,33.866,28.2816
part_327-6,79.1929,487,49.0921,57.6129
t2,40.1219,593,88.8629,100.71
part_250-8,58.5157,601.603,58.9981,92.1062
part_288-9,70.1703,618.172,35.0938,58.8546
part_291-2,79.6318,634.176,16.2452,25.6485
part_293-7,85.1076,654.352,1.93975,1.93961
part_298-9,84.8473,642.938,5.55616,8.5375
part_299-5,89.5186,640.109,2.98952,3.58557
part_301-4,83.5089,637.789,2.72039,3.8694
part_251-3,65.5553,611.51,47.5263,71.7736
part_287-1,67.9017,613.593,42.8336,67.6054
part_290-2,78.8499,633.397,17.8091,27.2089
part_292-3,84.5684,653.397,3.01306,3.59365
part_296-3,84.0652,642.24,8.95436,11.3211
part_297-4,90.5823,650.702,1.93968,1.93962
part_324-1,73.8978,593,48.3084,57.0108
part_165-1,120.257,619.311,8.72744,28.8817
part_295-3,80.8507,646.274,1.20739,3.01846
part_300-8,90.4335,640.458,1.33746,2.67493
part_294-7,80.1276,646.122,2.9967,3.61485
part_304-4,40.1219,601.334,42.4576,92.3763
t3,33.7098,724,115.173,32.995
part_31-1,67.8482,724,81.0344,32.9936
part_33-9,89.5016,724.006,42.3236,11.7078
part_28-8,33.7098,725.396,60.5148,31.5986
t4,167.365,723,117.324,34.7179
part_24-6,204.769,723.989,44.5694,13.2883
part_29-0,186.873,723.659,97.8159,34.0557
part_35-2,167.365,723,52.1356,34.7179
part_17-4,221.632,725.631,45.1833,16.2631
part_26-8,202.415,723.571,66.8505,20.9574
t5,162.463,504,166.805,51.1917
part_598-0,162.463,504.434,156.615,50.7576
part_602-6,282.86,504,44.5391,51.1884
part_596-1,286.99,504.647,42.2782,50.5413
t6,158.805,582,148.387,85.4805
part_573-6,187.13,587.886,106.448,75.1794
part_595-3,158.805,582,148.387,85.4805
t8,318.679,634.295,101.525,114.907
path18,319.785,721.779,63.5557,25.0919
path19,318.679,634.295,101.525,111.768
path20,393.914,649.994,16.8174,6.49405
path21,390.439,643.891,24.8425,5.61405
path22,394.412,640.392,14.4622,4.16896
path23,321.875,729.919,54.8614,19.2835
path24,318.975,718.583,60.7602,21.7975
path25,388.422,639.527,27.7097,17.8226
t7,333.52,502,107.215,109.883
part_510-1,336.3,510.802,104.323,101.08
part_511-3,412.17,514.468,24.7934,15.9784
part_512-5,417.06,523.76,14.8135,5.95288
part_519-9,414.128,518.383,22.1109,4.96772
part_520-8,416.971,515.196,13.3245,4.25823
part_530-4,333.52,503.954,103.835,7.16938
part_150-0,350.223,587.094,90.5119,24.5297
part_160-7,353.786,584.385,84.6651,21.7908
